Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
FuselageBase,100.205460,92.236624,67.105043,65.098866
TailFuselage,59.541760,38.390699,12.886824,8.757023
MotorFuselage,4.309159,1.242326,0.483566,0.146928
Prop,2.599827,2.599827,0.048225,0.048225
Prop,2.599827,2.599827,0.048225,0.048225
Prop,2.599827,2.599827,0.048225,0.048225
WingGeom,82.764409,77.249545,6.664634,6.555938
WingGeom,82.764409,77.249545,6.664634,6.555938
Totals,337.384677,294.168218,93.949376,87.259369

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
FuselageBase_Surf0,100.205460,92.236624
TailFuselage_Surf0,59.541760,38.390699
MotorFuselage_Surf0,4.309159,1.242326
Prop_Surf0,2.599827,2.599827
Prop_Surf1,2.599827,2.599827
Prop_Surf2,2.599827,2.599827
WingGeom_Surf0,82.764409,77.249545
WingGeom_Surf1,82.764409,77.249545
